Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
8,A*,Manhattan Distance,10,6272
9,A*,Manhattan Distance,10,14320
10,A*,Manhattan Distance,9,33424
11,A*,Manhattan Distance,9,35312
12,A*,Manhattan Distance,10,48720
13,A*,Manhattan Distance,9,6624
14,A*,Manhattan Distance,10,6440
15,A*,Manhattan Distance,9,48904
16,A*,Manhattan Distance,9,6256
17,A*,Manhattan Distance,8,34688
18,A*,Manhattan Distance,9,49184
19,A*,Manhattan Distance,9,7048
20,A*,Manhattan Distance,9,6120
21,A*,Manhattan Distance,9,48112
22,A*,Manhattan Distance,10,33696
23,A*,Manhattan Distance,8,48368
24,A*,Manhattan Distance,10,7040
25,A*,Manhattan Distance,9,6096
26,A*,Manhattan Distance,9,49096
27,A*,Manhattan Distance,9,49112
28,A*,Manhattan Distance,9,35440
29,A*,Manhattan Distance,9,35200
30,A*,Manhattan Distance,9,47784
31,A*,Manhattan Distance,9,6824
32,A*,Manhattan Distance,9,9752
33,A*,Manhattan Distance,9,13752
34,A*,Manhattan Distance,10,30032
35,A*,Manhattan Distance,9,32760
36,A*,Manhattan Distance,8,11200
37,A*,Manhattan Distance,9,56936
38,A*,Manhattan Distance,9,13224
39,A*,Manhattan Distance,7,27544
40,A*,Manhattan Distance,7,27792
41,A*,Manhattan Distance,7,28264
42,A*,Manhattan Distance,8,36208
43,A*,Manhattan Distance,8,5728
44,A*,Manhattan Distance,8,5728
45,A*,Manhattan Distance,9,5728
46,A*,Manhattan Distance,8,6112
47,A*,Manhattan Distance,9,34544
48,A*,Manhattan Distance,10,52976
49,A*,Manhattan Distance,10,3600
50,A*,Manhattan Distance,10,48072
51,A*,Manhattan Distance,9,48248
52,A*,Manhattan Distance,10,4672
53,A*,Manhattan Distance,11,47712
54,A*,Manhattan Distance,10,5704
55,A*,Manhattan Distance,10,47688
56,A*,Manhattan Distance,10,5752
57,A*,Manhattan Distance,10,48192
58,A*,Manhattan Distance,11,5840
59,A*,Manhattan Distance,10,36160
60,A*,Manhattan Distance,10,6152
61,A*,Manhattan Distance,11,47760
62,A*,Manhattan Distance,10,6264
63,A*,Manhattan Distance,11,6032
64,A*,Manhattan Distance,9,48008
65,A*,Manhattan Distance,10,5984
66,A*,Manhattan Distance,9,48872
67,A*,Manhattan Distance,9,7424
68,A*,Manhattan Distance,9,48856
69,A*,Manhattan Distance,10,36144
70,A*,Manhattan Distance,9,40848
71,A*,Manhattan Distance,9,13296
72,A*,Manhattan Distance,9,7744
