Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
3,IDA*,Manhattan Distance,13,192
4,IDA*,Manhattan Distance,15,192
5,IDA*,Manhattan Distance,14,192
6,IDA*,Manhattan Distance,14,192
7,IDA*,Manhattan Distance,14,192
8,IDA*,Manhattan Distance,13,192
9,IDA*,Manhattan Distance,14,192
10,IDA*,Manhattan Distance,14,192
11,IDA*,Manhattan Distance,16,192
12,IDA*,Manhattan Distance,15,192
13,IDA*,Manhattan Distance,15,192
14,IDA*,Manhattan Distance,14,192
15,IDA*,Manhattan Distance,14,192
16,IDA*,Manhattan Distance,15,192
17,IDA*,Manhattan Distance,14,192
18,IDA*,Manhattan Distance,14,192
19,IDA*,Manhattan Distance,14,192
20,IDA*,Manhattan Distance,14,192
21,IDA*,Manhattan Distance,14,192
22,IDA*,Manhattan Distance,14,192
23,IDA*,Manhattan Distance,15,192
24,IDA*,Manhattan Distance,14,192
25,IDA*,Manhattan Distance,14,192
26,IDA*,Manhattan Distance,14,192
27,IDA*,Manhattan Distance,14,192
28,IDA*,Manhattan Distance,14,192
29,IDA*,Manhattan Distance,14,192
30,IDA*,Manhattan Distance,14,192
31,IDA*,Manhattan Distance,14,192
32,IDA*,Manhattan Distance,14,192
33,IDA*,Manhattan Distance,15,192
34,IDA*,Manhattan Distance,14,192
35,IDA*,Manhattan Distance,16,192
36,IDA*,Manhattan Distance,19,192
37,IDA*,Manhattan Distance,17,192
38,IDA*,Manhattan Distance,21,192
39,IDA*,Manhattan Distance,19,192
40,IDA*,Manhattan Distance,20,192
41,IDA*,Manhattan Distance,21,192
42,IDA*,Manhattan Distance,19,192
43,IDA*,Manhattan Distance,19,192
44,IDA*,Manhattan Distance,19,192
45,IDA*,Manhattan Distance,20,192
46,IDA*,Manhattan Distance,15,192
47,IDA*,Manhattan Distance,20,192
48,IDA*,Manhattan Distance,16,192
49,IDA*,Manhattan Distance,19,192
50,IDA*,Manhattan Distance,19,192
51,IDA*,Manhattan Distance,20,192
52,IDA*,Manhattan Distance,19,192
53,IDA*,Manhattan Distance,15,192
54,IDA*,Manhattan Distance,15,192
55,IDA*,Manhattan Distance,16,192
56,IDA*,Manhattan Distance,14,192
57,IDA*,Manhattan Distance,15,192
58,IDA*,Manhattan Distance,15,192
59,IDA*,Manhattan Distance,16,192
60,IDA*,Manhattan Distance,16,192
61,IDA*,Manhattan Distance,18,192
62,IDA*,Manhattan Distance,17,192
63,IDA*,Manhattan Distance,20,192
64,IDA*,Manhattan Distance,14,192
65,IDA*,Manhattan Distance,13,192
66,IDA*,Manhattan Distance,14,192
67,IDA*,Manhattan Distance,14,192
68,IDA*,Manhattan Distance,13,192
69,IDA*,Manhattan Distance,14,192
70,IDA*,Manhattan Distance,13,192
71,IDA*,Manhattan Distance,14,192
72,IDA*,Manhattan Distance,13,192
73,IDA*,Manhattan Distance,13,192
74,IDA*,Manhattan Distance,13,192
75,IDA*,Manhattan Distance,13,192
76,IDA*,Manhattan Distance,13,192
77,IDA*,Manhattan Distance,13,192
78,IDA*,Manhattan Distance,12,192
79,IDA*,Manhattan Distance,12,192
80,IDA*,Manhattan Distance,12,192
81,IDA*,Manhattan Distance,12,192
82,IDA*,Manhattan Distance,13,192
83,IDA*,Manhattan Distance,13,192
84,IDA*,Manhattan Distance,13,192
85,IDA*,Manhattan Distance,12,192
86,IDA*,Manhattan Distance,13,192
87,IDA*,Manhattan Distance,12,192
88,IDA*,Manhattan Distance,12,192
89,IDA*,Manhattan Distance,12,192
90,IDA*,Manhattan Distance,12,192
91,IDA*,Manhattan Distance,12,192
92,IDA*,Manhattan Distance,12,192
93,IDA*,Manhattan Distance,12,192
94,IDA*,Manhattan Distance,11,192
95,IDA*,Manhattan Distance,12,192
96,IDA*,Manhattan Distance,12,192
97,IDA*,Manhattan Distance,12,192
98,IDA*,Manhattan Distance,12,192
